1/72 configs 0.2s
11/72 configs 2.6s
21/72 configs 4.6s
31/72 configs 5.9s
41/72 configs 7.3s
51/72 configs 8.4s
61/72 configs 9.7s
71/72 configs 10.5s
/Users/bumblebee/Github_repos/Projects/nordic-ai-cup-2026/survival/results/water-tuning-search.json
23.366666666666664 {'mode': 'cross', 'lead': 55, 'reserve': 10, 'switch': 3, 'max_move': 10, 'lookahead': 3, 'margin': 2, 'track_y': 1, 'escape': 26, 'face': 'fixed', 'turn_y': 920, 'observed': False, 'rest_wait': False}
23.333333333333332 {'mode': 'cross', 'lead': 55, 'reserve': 4, 'switch': 3, 'max_move': 10, 'lookahead': 3, 'margin': 2, 'track_y': 1, 'escape': 26, 'face': 'fixed', 'turn_y': 920, 'observed': False, 'rest_wait': False}
21.333333333333332 {'mode': 'cross', 'lead': 55, 'reserve': 1, 'switch': 3, 'max_move': 10, 'lookahead': 3, 'margin': 2, 'track_y': 1, 'escape': 26, 'face': 'fixed', 'turn_y': 920, 'observed': False, 'rest_wait': False}
13.866666666666669 {'mode': 'cross', 'lead': 55, 'reserve': 10, 'switch': 3, 'max_move': 10, 'lookahead': 0, 'margin': 2, 'track_y': 0, 'escape': 26, 'face': 'fixed', 'turn_y': 920, 'observed': False, 'rest_wait': False}
1.4000000000000006 {'mode': 'cross_side', 'lead': 55, 'reserve': 10, 'switch': 3, 'max_move': 10, 'lookahead': 3, 'margin': 2, 'track_y': 0, 'escape': 26, 'face': 'fixed', 'turn_y': 920, 'observed': False, 'rest_wait': False}
1.3999999999999997 {'mode': 'cross', 'lead': 55, 'reserve': 1, 'switch': 3, 'max_move': 10, 'lookahead': 0, 'margin': 2, 'track_y': 0, 'escape': 26, 'face': 'fixed', 'turn_y': 920, 'observed': False, 'rest_wait': False}
1.000000000000001 {'mode': 'cross', 'lead': 55, 'reserve': 4, 'switch': 3, 'max_move': 10, 'lookahead': 0, 'margin': 2, 'track_y': 0, 'escape': 26, 'face': 'fixed', 'turn_y': 920, 'observed': False, 'rest_wait': False}
-1.6333333333333329 {'mode': 'cross', 'lead': 55, 'reserve': 4, 'switch': 3, 'max_move': 10, 'lookahead': 3, 'margin': 2, 'track_y': 0, 'escape': 26, 'face': 'fixed', 'turn_y': 920, 'observed': False, 'rest_wait': False}
-2.1999999999999993 {'mode': 'cross_side', 'lead': 55, 'reserve': 10, 'switch': 3, 'max_move': 10, 'lookahead': 3, 'margin': 2, 'track_y': 1, 'escape': 26, 'face': 'fixed', 'turn_y': 920, 'observed': False, 'rest_wait': False}
-2.733333333333333 {'mode': 'cross', 'lead': 55, 'reserve': 10, 'switch': 3, 'max_move': 10, 'lookahead': 6, 'margin': 2, 'track_y': 1, 'escape': 26, 'face': 'fixed', 'turn_y': 920, 'observed': False, 'rest_wait': False}
