# name host port podid venv
i 213.173.105.96 48711 z472wm9qqrpybs /workspace/users/oscar/cpu-i/.venv
j 213.173.105.69 11976 9egkxysvtypb5e /workspace/users/oscar/cpu-j/.venv
k 213.173.105.98 32456 qh678gnr0amgl5 /workspace/users/oscar/cpu-k/.venv
n1 213.173.105.69 39254 1g2p6pd7s2yfvz /workspace/night/.venv
n2 213.173.105.69 37304 ymm2i8nucy7cay /workspace/night/.venv
n3 213.173.105.102 32012 c6f7f469e77i3i /workspace/night/.venv
n4 213.173.105.102 28839 yt33ckabz5mmzq /workspace/night/.venv
n5 213.173.105.108 28843 xafjwzo2ydi3dp /workspace/night/.venv
